Meta,ID,Owner,Deck,Played,Wins,Elo,Active
BMT,75b4098373eb06e79b7022963e9dc7072472bc13106d2656ac8dbc0a605731ad,Wedgetable,Zedruu the Goathearted,33,5,947.074766533654,1
BMT,e03561ca3e6d3f040816d9df97b6d6941f1cfd715d0dbc3e8277e314ffdb92d4,Tank,"Evelynn, The Covetous",5,1,969.478888544994,1
BMT,b0ba75f4fce8a5956f9cf50979441caefff6d01289f9e1ea17d18e0db7e4457b,crazykid,"Szarel, Genesis Shepard",1,1,1049.308704,1
BMT,6c95f6ffc88fb9930b7bec95c5e41eb8e02e0f6e0c9ab90e02072015f68d881a,Deniedpluto,Dragonhawk-Tua,9,4,1046.70655499142,1
BMT,6522f56b4a8ed7a4eafe8547990045df2ea7557d13843adb1f027495c80c7bff,crazykid,"Caesar, Legion's Emperor",1,0,980.5282961,1
BMT,2502384ac69046460d64cd3b4a231b5de5f7b92f33dccc8fd663380e660e2b39,Wedgetable,Kolodin Crashes Out,6,2,1016.48837226281,1
BMT,91989dff3b2082da5ffadd78fbba0da2da39c5f30d89057848440cca7b3df9ef,Wedgetable,Bending Lands,5,0,921.110979202217,1
BMT,fe8a3ec83d5080597481a631f0d7bd66688781c16dde10576580154ad0400ff9,Wedgetable,Izzet A Dragon?,2,1,1021.93706314452,1
BMT,4ede2a8891a58da1f1e85e7dd5dd698524375ea0eb3473d617af494caf7e6e53,FrickinRodney,Warhammer Warriors,1,1,1037.971963,1
BMT,ad7cb4355bb36da5092905950dc422a6237961271271f0d05beefbf6e059ae6b,FrickinRodney,Knights of the Round Table,1,0,984.3649106,1
BMT,26c9697e3744ed686c01749c657e51745a5db8943cb9fb3e397335792a80f35e,FrickinRodney,Awoo Stay Away From Her,1,0,983.2134044,1
BMT,4124a3dd2712b7d1f1194d748bdedf0a4b9e4ed496f0a46c321937ea22d55a07,Deniedpluto,Building a Ramp to the Moon,1,0,971.1454988,1
BMT,a8a12094f620eb0ad4f00442eb54840f9750b2571602d33e02edb65f4443c008,Deniedpluto,The Chosen One,4,3,1083.04901392067,1
BMT,eeb8a0882f1dc542f91f9a017b40ddea3163db927a231925c3f303ee57bb9fbe,Deniedpluto,Mr. Goldfield,5,4,1117.15913145986,1
BMT,22d0354db1a88740d70c3605de773663a570a2736c08b19624da2fb4475e85e7,Deniedpluto,TIHI,1,0,976.179907720963,1
BMT,8109b21d2ed6dcaa1b0f2536a5e0366d8f51ca07734c852a6cd7efb2a9e6be46,Ghstflame,Jon Irenicus Creature Party,2,0,947.516508455996,1
BMT,17709ce978acff63e7250413004d1094a02ef24497f448e0affe26dd832abfc3,Wedgetable,Freeloading Kellen,2,0,959.720984890344,1
"",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"","",0,0,1000,1
BMT,5b92654188f2c0512d026587657f5da7d61c14feba6c6fddc21d53215eccaa5e,Deniedpluto,Grand Larceny,1,0,984.953172107614,1
BMT,b7fe5d513323b742ec6d7835d5e8feded41de9b8d8216271a496cb8b39ee415c,Wedgetable,Hokey Pokey,1,0,984.953172107614,1
